"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
Order # %1,Pesan #%1
Back to My Orders,Kembali ke pesanan saya
View Another Order,Lihat Pesanan Lain
Please enter a comment.,Silahkan masukkan komentar.
Cannot add new comment.,Tidak dapat menambahkan komentar baru.
Please specify a carrier.,Silakan tentukan kurir.
Please enter a tracking number.,Silakan masukkan nomor pelacakan.
Shipments,Pengiriman
We can't initialize shipment for adding tracking number.,Kami tidak dapat menginisialisasi pengiriman untuk menambahkan nomor pelacakan.
Cannot add tracking number.,Tidak dapat menambahkan nomor pelacakan.
You created the shipping label.,Anda membuat label pengiriman.
An error occurred while creating shipping label.,Terjadi kesalahan saat membuat label pengiriman.
An email confirming the order is underway has been sent to the customer.,An email confirming the order is underway has been sent to the customer.
Cannot send shipment information.,Tidak dapat mengirim informasi pengiriman.
There are no shipping labels related to selected orders.,Tidak ada label pengiriman yang terkait dengan pesanan yang dipilih.
New Shipment,Pengiriman baru
We don't recognize or support the file extension in this shipment: %1.,Kami tidak mengenali atau mendukung ekstensi file dalam pengiriman ini: %1.
We can't initialize shipment for delete tracking number.,Kami tidak dapat menginisialisasi pengiriman untuk menghapus nomor pelacakan.
We can't delete tracking number.,Kami tidak dapat menghapus nomor pelacakan.
We can't load track with retrieving identifier right now.,Kami tidak dapat memuat lintasan dengan mengambil pengenal sekarang juga.
We can't save the shipment right now.,Kami tidak dapat menyimpan kiriman sekarang juga.
"""Shipment Document Validation Error(s):\n"" .","""Kesalahan Validasi Dokumen pengiriman(s):\n""."
The shipment has been created.,Pengiriman telah dibuat.
Cannot save shipment.,Tidak dapat menyimpan kiriman.
The order no longer exists.,Perintah sudah tidak ada lagi.
Cannot do shipment for the order separately from invoice.,Tidak dapat melakukan pengiriman untuk pesanan terpisah dari faktur.
Cannot do shipment for the order.,Tidak bisa melakukan pengiriman untuk pesanan.
"Tracking information must contain title, carrier code, and tracking number","Informasi pelacakan harus berisi judul, kode kurir, dan nomor pelacakan"
There are no shipping labels related to selected shipments.,Tidak bisa melakukan pengiriman untuk pesanan.
Page not found.,Halaman tidak ditemukan.
Tracking Information,Informasi Pelacakan
"Sorry, but we can't deliver to the destination country with this shipping module.","Maaf, tapi kami tidak bisa mengantarkan ke negara tujuan dengan modul pengiriman ini."
The shipping module is not available.,Modul pengiriman tidak tersedia.
This shipping method is not available. Please specify the zip code.,Metode pengiriman ini tidak tersedia. Silakan tentukan kode posnya.
No packages for request,Tidak ada paket permintaan
Security validation of XML document has been failed.,Validasi keamanan dokumen XML telah gagal.
All Allowed Countries,Semua Negara yang Diizinkan
Specific Countries,Negara tertentu
Development,Pengembangan
Live,Hidup
Divide to equal weight (one request),Bagi bobot yang sama (satu permintaan)
Use origin weight (few requests),Gunakan berat badan asal (beberapa permintaan)
Packages,Paket
Package,Paket
Type,Jenis
Length,Panjangnya
Signature Confirmation,Konfirmasi Tanda Tangan
Customs Value,Nilai Pabean
Width,Lebar
Contents,Isi
Total Weight,Total berat
Height,Tinggi
Size,Ukuran
Girth,Ketebalan
Items in the Package,Item dalam Paket
Product,Produk
Weight,Berat
Qty Ordered,Qty Memerintahkan
Qty,Jml
"No detail for number ""%1""","Tidak ada detail untuk nomor ""%1"""
Shipping labels is not available.,Label pengiriman tidak tersedia.
Response info is not exist.,Info tanggapan tidak ada.
Invalid carrier: %1,Kurir tidak valid: %1
We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.,Kami tidak memiliki cukup informasi untuk membuat label pengiriman. Pastikan informasi dan pengaturan toko Anda sudah lengkap.
Per Order,Sesuai pesanan
Per Package,Per paket
Fixed,Tetap
Percent,Persen
Tracking information is unavailable.,Informasi pelacak tidak tersedia.
message,pesan
Email has not been sent,Email belum terkirim
Payment &amp; Shipping Method,Pembayaran &amp; metode pengiriman
Payment Information,Informasi Pembayaran
The order was placed using %1.,Perintah ditempatkan menggunakan %1.
Shipping Information,Pengiriman Informasi
Total Shipping Charges,Jumlah Biaya Pengiriman
Incl. Tax,Incl. Pajak
Items to Ship,Barang untuk Dikirimkan
Qty to Ship,Jml untuk Dikirimkan
Ship,Kirimkan
Shipment Total,Total pengiriman
Shipment Comments,Komentar pengiriman
Comment Text,Teks komentar
Shipment Options,Pilihan Pengiriman
Create Shipping Label,Buat Label Pengiriman
Append Comments,Tambahkan komentar
Email Copy of Shipment,Salinan email pengiriman
Invalid value(s) for Qty to Ship,Nilai tidak sah untuk Jml yang dikirimkan
Select All,Pilih Semua
Product Name,Nama Produk
Delete,Hapus
Create Packages,Buat Paket
Cancel,Batal
Save,Menyimpan
Add Package,Tambahkan Paket
Add Selected Product(s) to Package,Tambahkan Produk yang Dipilih(s) ke Paket
Add Products to Package,Tambahkan Produk ke Paket
USPS domestic shipments don't use package types.,USPS pengiriman dalam negeri tidak menggunakan jenis paket.
in,di
cm,cm
lb,ib
kg,kg
Delete Package,Hapus Paket
Explanation,Penjelasan
Carrier,Kurir
Title,Judul
Number,Jumlah
Action,Tindakan
Are you sure?,Apakah kamu yakin?
Shipping &amp; Handling Information,Pengiriman &amp; Informasi Penanganan
Track Order,Lacak Pesanan
No shipping information available,Tidak ada informasi pengiriman yang tersedia
Shipping and Tracking Information,Informasi Pengiriman dan Pelacakan
Track this shipment,Lacak kiriman ini
Items Shipped,Barang dikirim
Order Total,Jumlah Total Pesanan
Shipment History,Sejarah Pengiriman
Qty Shipped,Qty dikirim
Print All Shipments,Cetak Semua Pengiriman
Shipment #,Pengiriman #
Print Shipment,Cetak Pengiriman
Tracking Number(s):,Nomor Pelacakan(s):
SKU,SKU
Order tracking,Pelacakan pesanan
Tracking Number:,Melacak nomor:
Carrier:,Kurir:
Error:,Kesalahan:
Tracking information is currently not available. Please ,Informasi pelacakan saat ini tidak tersedia. Silahkan
contact us,hubungi kami
 for more information or , untuk informasi lebih lanjut atau
email us at ,di email kami
Info:,Info:
Track:,Jalur:
. ':',. ':'
Delivered on:,Disampaikan pada:
N/A,N / A
There is no tracking available for this shipment.,Tidak ada pelacakan yang tersedia untuk pengiriman ini.
There is no tracking available.,Tidak ada pelacakan yang tersedia.
Close Window,Tutup jendela
Track history,Riwayat Pelacakan
Location,Lokasi
Date,Tanggal
Local Time,Waktu lokal
Description,Deskripsi
See our Shipping Policy,Lihat Kebijakan Pengiriman kami
Shipping Settings Section,Bagian Pengaturan Pengiriman
Shipping Policy Parameters Section,Bagian Parameter Kebijakan Pengiriman
Shipping Methods Section,Bagian Metode Pengiriman
Shipping Settings,Setelan Pengiriman
Origin,Asal
Country,Negara
Region/State,Wilayah/negara
ZIP/Postal Code,Kode pos
City,Kota
Street Address,Alamat jalan
Street Address Line 2,Alamat jalan Baris 2
Shipping Policy Parameters,Parameter Kebijakan Pengiriman
Apply custom Shipping Policy,Terapkan Kebijakan Pengiriman Khusus
Shipping Policy,Kebijakan Pengiriman
Shipping Methods,Metode pengiriman
Track your order,Lacak pesananmu
Track All Shipments,Lacak Semua Pengiriman
You sent the shipment.,Anda telah mengirim pengiriman.
Status:,Status:
Signed by:,Ditandatangani oleh:
Delivered to:,Dikirim ke:
Shipped or billed on:,Dikirimkan atau ditagih pada:
Service Type:,Jenis Layanan:
Weight:,Berat:
The comment is missing. Enter and try again.,The comment is missing. Enter and try again.
The security validation of the XML document has failed.,The security validation of the XML document has failed.
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
Shipping labels can't be created. Verify that the store information and settings are complete and try again.,Shipping labels can't be created. Verify that the store information and settings are complete and try again.
Approved,Disetujui
Declined,Ditolak
Pending,Tertunda
Canceled,Dibatalkan
In Review,Dalam Pengkajian
Unrequested,Tidak Meminta
Learn more,Pelajari Kembali
This order already has associated case entity,Pesanan ini sudah memiliki entitas kasus terkait
The case entity should not be empty.,Entitas kasus tidak boleh kosong.
Cannot update Case entity.,Tidak dapat memperbarui kasus entitas.
"The ""%1"" should not be empty.","Tautan ""%1"" tidak boleh kosong."
Case entity not found.,Kasus entitas tidak ditemukan.
Case Update: New score for the order is %1. Previous score was %2.,Kasus terbaru: Skor baru untuk urutan adalah %1. Skor sebelumnya adalah %2.
Awaiting the Signifyd guarantee disposition.,Menunggu disposisi jaminan Signifyd.
"Only single entrance of ""%1"" node is required.",Hanya satu pintu masuk %1 node diperlukan.
"Not empty value for ""%1"" node is required.","Nilai kosong untuk simpul ""% 1"" tidak diperlukan."
%1 must implement %2,% 1 harus menerapkan% 2
Error,Kesalahan
Cannot generate message.,Pesan tidak dapat dikirimkan.
Message is generated.,Pesan yang dihasilkan.
Case with the same order id already exists.,Berkas dengan nama yang sama sudah ada.
Fraud Protection Information,Informasi Perlindungan Penipuan
Signifyd Guarantee Decision,Putusan Jaminan Signifyd
Fraud Protection Section,Bagian Perlindungan Penipuan
Fraud Protection,Deteksi Penipuan
Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.,Melindungi Toko Anda dari Penipuan dengan jaminan perlindungan penipuan oleh penyelenggara.
Configuration,Konfigurasi
Enable this Solution,Aktifkan solusi ini
API Key,Kunci API
API URL,API URL
Debug,Debugging
Webhook URL,Webhook URL
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.,module,Magento_Signifyd
We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.,module,Magento_Signifyd
<p>Benefits:<ul>,module,Magento_Signifyd
<li>Grow your business without fear of fraud</li>,module,Magento_Signifyd
<li>Accept more orders and maximize your revenue</li>,module,Magento_Signifyd
<li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.,module,Magento_Signifyd
We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.,module,Magento_Signifyd
<p>Benefits:<ul>,module,Magento_Signifyd
<li>Grow your business without fear of fraud</li>,module,Magento_Signifyd
<li>Accept more orders and maximize your revenue</li>,module,Magento_Signifyd
<li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
Save & Generate,Simpan & Hasilkan
Edit Sitemap,Edit Sitemap
New Sitemap,New Sitemap
Sitemap Information,Sitemap Information
Sitemap,Sitemap
Filename,Filename
example: sitemap.xml,example: sitemap.xml
Path,Jalan
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
Store View,Tampilan toko
Generate,Pembuatan
XML Sitemap,Peta Situs XML
Add Sitemap,Add Sitemap
Catalog,Katalog
You deleted the sitemap.,You deleted the sitemap.
We can't find a sitemap to delete.,Kami tidak dapat menemukan peta situs yang akan dihapus.
This sitemap no longer exists.,This sitemap no longer exists.
Site Map,Site Map
New Site Map,New Site Map
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
We can't generate the sitemap right now.,Kami tidak dapat membuat peta situs sekarang juga.
We can't find a sitemap to generate.,Kami tidak dapat menemukan peta situs untuk menghasilkan.
You saved the sitemap.,You saved the sitemap.
The priority must be between 0 and 1.,The priority must be between 0 and 1.
Always,Selalu
Hourly,Per jam
Daily,Harian
Weekly,Mingguan
Monthly,Bulanan
Yearly,Yearly
Never,Tak pernah
File handler unreachable,File handler unreachable
Please define a correct path.,Please define a correct path.
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
None,Tidak ada
Base Only,Base Only
All,Semua
Sitemap generate Warnings,Sitemap generate Warnings
Sitemap Generation Warnings,Sitemap Generation Warnings
XML Sitemap Section,XML Sitemap Section
Categories Options,Categories Options
Frequency,Frekuensi
Priority,Prioritas
Valid values range from 0.0 to 1.0.,Valid values range from 0.0 to 1.0.
Products Options,Products Options
Add Images into Sitemap,Add Images into Sitemap
CMS Pages Options,CMS Pages Options
Generation Settings,Generation Settings
Enabled,Diaktifkan
Error Email Recipient,Kesalahan Pada Penerimaan Email
Error Email Sender,Kesalahan Pada Pengiriman Email
Error Email Template,Kesalahan Email Template
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
Start Time,Waktu mulai
Sitemap File Limits,Batas Berkas Peta Situs
Maximum No of URLs Per File,Maksimum No URL Per File
Maximum File Size,Ukuran File Maksimum
File size in bytes.,Ukuran file dalam satuan byte.
Search Engine Submission Settings,Pengaturan Submission Search Engine
Enable Submission to Robots.txt,Aktifkan Penyerahan ke Robots.txt
ID,Id
Link for Google,Tautan untuk Google
Last Generated,Terakhir Dihasilkan
Action,Tindakan
This search no longer exists.,Penelusuran Ini sudah lama tidak aktif.
We were unable to perform the search because of a search engine misconfiguration.,Kami tidak melakukan pencarian karena ada kesalah konfigurasi pada mesin pencarian.
Could not ping search engine: %1,Tidak bisa melakukan ping ke mesin pencari:%1
Final commit,Akhir komit
Partial commit,Komit persial
Engine autocommit,Mesin autocommit
Solr Server Hostname,Nama host soir server
Solr Server Port,Nama host soir server
Solr Server Username,Nama host soir server
Solr Server Password,Nama host soir server
Solr Server Timeout,Nama host soir server
Solr Server Path,Nama host soir server
Without starting and trailing slashes.,Tanpa mulai dan trailing garis miring.
Indexation Mode,Mode indeksasi
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Modus persial komit mempengaruhi waktu indeksasi, tetapi memungkinkan diindeks produk akan terlihat di etalase sebelum indeksasi selesai."
Test Connection,Tes koneksi
button_label,label tombol
"Please fill in Hostname, Port, Path","Silahkan isi Nama Host, Pelabuhan, Jalan"
Something went wrong,Terjadi beberapa kesalahan
Successful! Test again?,Sukses! Uji lagi?
Connection failed! Test again?,Koneksi gagal! Uji lagi?
Cancel,Batal
Preview,Pratinjau
Done,Selesai
Remove from Update,Hapus dari Pembaruan
Save,Menyimpan
Schedule New Update,Jadwalkan Update Baru
View Specific Date,Lihat tanggal tertentu
Date & Time,Tanggal & Waktu
This update not exists.,Pembaruan ini tidak ada.
Content Staging Dashboard,Dasbor Pementasan Konten
The Start Time of this Update cannot be changed. It's been already started.,Walau mulai pembaruan ini tidak dapat diubah. itu telah sudah dimulai.
"Future Update in this time range already exists.,module,Magento_Staging
Select a different range to add a new Future Update.","Update Masa Depan di rentang waktu ini sudah ada.,module,Magento_Staging
Pilih rentang yang berbeda untuk menambahkan Update Masa Depan yang baru."
Cannot save Update.,Tidak dapat menyimpan pembaruan.
Edit Existing Update,Update yang sudah ada
Assign to Another Update,Pindah ke update yang lain
Save as a New Update,Simpan sebagai Update Baru
Assign to Existing Update,Pindah ke update yang lain
You removed this %1 from the update and saved it in the other one.,"Anda menghapus% 1 ini dari pembaruan dan menyimpannya di folder yang lain.,module,Magento_Staging
"
%1 is required parameter.,%1adalah parameter yang diperlukan.
You removed this %1 from the update.,Anda menghapus % 1 ini dari pembaruan.
You removed this %1 from the update and saved it in a new one.,Anda menghapus% 1 ini dari pembaruan dan menyimpan di folder yang lain.
Invalid action type %1.,Pilihan tidak sah id %1.
Invalid action.,Tindakan tidak valid.
Invalid parameter %1.,%1 parameter tidak sah.
Something went wrong while removing the %1.,Ada yang tidak beres saat menyimpan% 1.
The 'mode' value is unexpected.,Nilai 'mode' tidak terduga.
You saved this %1 update.,Anda diselamatkan pembaruan %1.
Something went wrong while saving the %1.,"Ada yang tidak beres saat menyimpan% 1.,module,Magento_Staging
"
Requested type does not have corresponding implementation,Jenis yang diminta tidak memiliki implementasi yang sesuai
Repository should return instance of %s,Repositori harus mengembalikan instance% s
Can not be rescheduled,Tidak bisa dijadwal ulang
Action class must implement ActionDataProviderInterface,Kelas action harus menerapkan ActionDataProviderInterface
entity_type,entity_type
Delete Update,Hapus pembaruan
View/Edit,Lihat/Ubah
Active,Aktif
Upcoming,Mendatang
Please select Name for Future Update.,Silakan pilih Name for Future Update.
Please select Start Time for Future Update.,Silahkan pilih nama for fortune update.
Future Update Start Time cannot be earlier than current time.,Masa Depan pembaruan mulai waktu tidak bisa lebih awal dari waktu sekarang.
Future Update End Time cannot be equal or earlier than Start Time.,Waktu akhir update masa depan tidak bisa sama atau lebih awal dari waktu mulai.
Future Update End Time cannot be earlier than current time.,Pembaruan selanjutnya waktu akhir tidak bisa lebih awal dari waktu sekarang.
"Update with id ""%1"" does not exist.","Pembaruan dengan id ""% 1"" tidak ada.,module,Magento_Staging
"
Active update can not be deleted,Pembaruan aktif tidak dapat dihapus
Start time could not be changed while update active,Waktu mulai tidak bisa diubah sementara pembaruan aktif
Unable to save Future Update.,Tida dapat menyelamatkan masa depan pembaruan.
Test,Uji
Error,Kesalahan
Test Exception,Uji kesalahan
This action is unavailable,Tindakan ini tidak tersedia
Magento Admin Panel,Panel Admin Magento
Calendar,Kalender
Share,Bagikan
Close,Tutup
Scope,Cakupan
Scheduled Changes,Perubahan terjadwal
Start,Mulai
End,Akhir
Belongs to ,Milik
Please confirm scope switching. All data that hasn't been saved will be lost.,Silakan konfirmasikan pengalihan cakupan. Semua data yang belum disimpan akan hilang.
Share Preview Link,Bagikan Link Pratinjau
Staging,Pemanggungan
Create New Update,Buat Pembaruan Terbaru
Back,Kembali
General,Umum
Status,Subjek
Update Name,Perbarui nama
Includes,Termasuk
Start Time,Waktu mulai
End Time,Waktu Selesai
Description,Deskripsi
Preview Update,Preview Update
Remove this update,Remove this update
Staging Dashboard,Staging Dashboard
Assign to Another Campaign,Assign to Another Campaign
Assign to Existing Campaign,Assign to Existing Campaign
Create New Campaign,Create New Campaign
Campaign/Promo Name,Campaign/Promo Name
Action,Tindakan
"MMM d, y h:mm a","MMM d, y h:mm a"
Name,Nama
The Future Update Start Time is invalid. It can't be later than current time + %1 years.,The Future Update Start Time is invalid. It can't be later than current time + %1 years.
The Future Update End Time is invalid. It can't be later than current time + %1 years.,The Future Update End Time is invalid. It can't be later than current time + %1 years.
Future Update already exists in this time range. Set a different range and try again.,Future Update already exists in this time range. Set a different range and try again.
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
The action is invalid. Verify the action and try again.,The action is invalid. Verify the action and try again.
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
The type that was requested doesn't have a corresponding implementation. Verity the type and try again.,The type that was requested doesn't have a corresponding implementation. Verity the type and try again.
Action class needs to implement ActionDataProviderInterface. Verify action class and try again.,Action class needs to implement ActionDataProviderInterface. Verify action class and try again.
The Name for Future Update needs to be selected. Select and try again.,The Name for Future Update needs to be selected. Select and try again.
The Start Time for Future Update needs to be selected. Select and try again.,The Start Time for Future Update needs to be selected. Select and try again.
The Future Update Start Time is invalid. It can't be earlier than the current time.,The Future Update Start Time is invalid. It can't be earlier than the current time.
The Future Update End Time is invalid. It can't be the same time or earlier than the current time.,The Future Update End Time is invalid. It can't be the same time or earlier than the current time.
The Future Update End Time is invalid. It can't be earlier than the current time.,The Future Update End Time is invalid. It can't be earlier than the current time.
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
The active update can't be deleted.,The active update can't be deleted.
The start time can't be changed while the update is active. Please wait until the update is complete and try again.,The start time can't be changed while the update is active. Please wait until the update is complete and try again.
The future update was unable to be saved. Please try again.,The future update was unable to be saved. Please try again.
Invalid store requested.,Invalid store requested.
Current store is not active.,Toko saat ini tidak aktif.
Requested store is inactive,Toko yang diminta tidak aktif
Requested store is not found,Toko yang diminta tidak ditemukan
Environment emulation nesting is not allowed.,Sajian emulasi lingkungan tidak diperbolehkan.
%1,% 1
Website was not found,Website tidak ditemukan
Group was not found,Grup tidak ditemukan
Store was not found,Toko tidak ditemukan
"Class for type ""%1"" was not declared","Kelas untuk tipe ""%1"" tidak diumumkan"
%1 should implement %2,%1 harus diimplementasikan %2
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Toko berikut tidak terkait dengan kategori root: '. . '. Agar toko dapat ditampilkan di etalase, maka toko harus dikaitkan dengan kategori akar."
Invalid scope object,Objek lingkup tidak valid
Group with the same code,Kelompokkan kode yang sama
Store with the same code,Simpan dengan kode yang sama
Website with the same code,Website dengan kode yang sama
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kode situs mungkin hanya berisi huruf (az), angka (0-9) atau garis bawah (_), dan huruf pertama harus berupa huruf."
Name is required,Nama diperlukan
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kode toko hanya boleh berisi huruf (az), angka (0-9) atau garis bawah (_), dan huruf pertama harus berupa huruf."
Store is inactive,Toko tidak aktif
Invalid store parameter.,Parameter toko tidak valid.
Default store is inactive,Toko default tidak aktif
All Store Views,Semua Tampilan Store
-- Please Select --,-- Silahkan pilih --
Admin,Admin
Default website is not defined,Situs web default tidak didefinisikan
More than one default website is defined,Lebih dari satu situs web standar didefinisikan
no such entity exception,kesalahan tidak ada entitas seperti itu
Your Language:,Bahasa Anda:
Your Language,Bahasa Anda
Language,Bahasa
Select Store,Pilih Toko
Configuration,Konfigurasi
Various XML configurations that were collected across modules and merged,Berbagai konfigurasi XML yang dikumpulkan di seluruh modul dan digabungkan
Layouts,Tata letak
Layout building instructions,Petunjuk pembuatan layout
Blocks HTML output,Blokir keluaran HTML
Page blocks HTML,Halaman memblokir HTML
Collections Data,Data Koleksi
Collection data files,Koleksi file data
Reflection Data,Data Refleksi
API interfaces reflection data,Antarmuka API memantulkan data
Database DDL operations,Operasi DDL Database
"Results of DDL queries, such as describing tables or indexes","Hasil query DDL, seperti menggambarkan tabel atau indeks"
Only default scope allowed,Hanya cakupan default yang diizinkan
Various XML configurations that were collected across modules and merged.,Berbagai konfigurasi XML yang dikumpulkan di seluruh modul dan digabungkan.
Layout building instructions.,Petunjuk pembuatan layout.
Page blocks HTML.,Halaman memblokir HTML.
Collection data files.,Koleksi file data.
API interfaces reflection data.,Antarmuka API memantulkan data.
"Results of DDL queries, such as describing tables or indexes.",Antarmuka API memantulkan data.
The store cannot be switched.,The store cannot be switched.
The store that was requested wasn't found. Verify the store and try again.,The store that was requested wasn't found. Verify the store and try again.
The website wasn't found. Verify the website and try again.,The website wasn't found. Verify the website and try again.
The group wasn't found. Verify the group and try again.,The group wasn't found. Verify the group and try again.
The store wasn't found. Verify the store and try again.,The store wasn't found. Verify the store and try again.
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
The scope object is invalid. Verify the scope object and try again.,The scope object is invalid. Verify the scope object and try again.
The default website isn't defined. Set the website and try again.,The default website isn't defined. Set the website and try again.
The default website is invalid. Make sure no more than one default is defined and try again.,The default website is invalid. Make sure no more than one default is defined and try again.
Compiled Config,Dikompilasi konfigurasi
Compilation configuration,Konfigurasi kompilasi
Back,Kembali
Backup Log Details,Rincian Log Cadangan
Create,Membuat
Requested system report has no data to output.,Laporan sistem yang diminta tidak memiliki data untuk output.
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
Are you sure you want to delete the system report?,Yakin ingin menghapus laporan sistem?
Download,Download
Go to Top,Ke Atas
Report,Melaporkan
System Report Information,Informasi Laporan Sistem
Requested system report has no data to display.,Laporan sistem yang diminta tidak memiliki data untuk ditampilkan.
Output path %1 doesn't exist,Jalur keluaran %1 tidak ada
Unknown DB param: %1,Parameter DB tidak dikenal: %1
Paths file already exists,File jalur sudah ada
Paths file cannot be created,File jalur tidak dapat dibuat
Please select item(s).,Silahkan pilih item(s).
A total of %1 record(s) have been deleted.,Total %1 Record telah dihapus.
Support,Mendukung
Data Collector,Pengumpul data
The backup has been saved.,Cadangan telah disimpan.
Failed to save backup with error: %1,Gagal menyimpan cadangan dengan kesalahan: %1
An error occurred while saving backup,Terjadi kesalahan saat menyimpan cadangan
All processes should be complete,Semua proses harus lengkap
Wrong param id,Salah param id
The backup has been deleted.,Cadangan telah dihapus.
Cannot delete backup,Tidak dapat menghapus cadangan
File does not exist,File tidak ada
Log Details,Rincian log
An error occurred during mass deletion of data collector backups. Please review log and try again.,Terjadi kesalahan saat penghapusan massal backup data kolektor. Silakan tinjau log dan coba lagi.
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Setelah Anda memilih, klik tombol ""Buat"". Kemudian stand by while System Report yang dihasilkan. Ini mungkin memakan waktu beberapa menit. Anda akan menerima pemberitahuan setelah langkah ini selesai."
Create System Report,Buat Laporan Sistem
Unable to find a system report to delete.,Tidak dapat menemukan laporan sistem yang akan dihapus.
The system report has been deleted.,Laporan sistem telah dihapus.
An error occurred while deleting the system report. Please review log and try again.,Terjadi kesalahan saat menghapus laporan sistem. Silakan tinjau log dan coba lagi.
Requested system report no longer exists.,Laporan sistem yang diminta tidak ada lagi.
Unable to read system report data to display.,Tidak dapat membaca data laporan sistem yang akan ditampilkan.
No groups were specified to generate system report.,Tidak ada kelompok yang ditentukan untuk menghasilkan laporan sistem.
The system report has been generated.,Laporan sistem telah dibuat.
An error occurred while the system report was being created. Please review the log and try again.,An error occurred while the system report was being created. Please review the log and try again.
System Reports,Laporan Sistem
An error occurred during mass deletion of system reports. Please review log and try again.,Terjadi kesalahan saat penghapusan massal laporan sistem. Silakan tinjau log dan coba lagi.
Utility %1 not found,Utilitas %1 tidak ditemukan
Unknown utility: %1,Utilitas tidak dikenal: %1
Cannot set root directory.,Tidak bisa mengatur direktori root.
Support Module doesn't support %s operation system,Support Module tidak mendukung %s sistem operasi
Unable to create backup due to php exec function is disabled,Tidak dapat membuat cadangan karena fungsi exec php dinonaktifkan
Incomplete,Tidak lengkap
Complete,Lengkap
Failed,Gagal
Directory %s should have writable & readable permissions,Direktori %s seharusnya memiliki izin tertulis dan dapat dibaca
Windows,Windows
OS X,OS X
Unknown Status,Status tidak diketahui
Processing ...,Memproses ...
(now),(sekarang)
[%1 minutes ago],[%1 minutes ago]
[%1 hours ago],[%1 hours ago]
[%1 days ago],[%1 days ago]
[%1 weeks ago],[%1 week ago]
[%1 months ago],[%1 months ago]
[%1 years ago],[%1 tahun yang lalu]
And more...,Dan lagi...
Column %1,Kolom%1
Preparing system report data: Detected Single Row Mode but data may be incomplete.,Menyiapkan data laporan sistem: Terdeteksi Single Row Mode namun data mungkin tidak lengkap.
Yes,Ya
No,Tidak
All Eav Attributes,Semua Atribut Eav
Category Eav Attributes,Kategori Atribut Eav
Customer Address Eav Attributes,Alamat Pelanggan Eav Atribut
Customer Eav Attributes,Atribut Pelanggan Eav
Entity Types,Jenis Entitas
